"event_id","event_name","event_kind","category","start_date","end_date","start_time_local","timezone","city","country","venue_or_area","date_precision","diary_layer","alex_default_status","attendance_default","visibility","likely_rooms","commercial_pressure","privacy_risk","travel_logic","render_note","canon_note","source_type","source_url"
"notting_hill_carnival_2026","Notting Hill Carnival 2026","real_public","street_culture","2026-08-29","2026-08-31","10:00","Europe/London","London","UK","Notting Hill","exact","social_weather","social_overlap","not_default","public","London Lot,Legacy,Brain Trust","low","high","Local but high-public-risk","Use as London weather; friends may mention plans; do not assume Alex goes into the crowd.","If used, security/pap/crowd logic matters.","official",""
"notting_hill_carnival_2027","Notting Hill Carnival 2027","real_public","street_culture","2027-08-28","2027-08-30","10:00","Europe/London","London","UK","Notting Hill","exact","social_weather","social_overlap","not_default","public","London Lot,Legacy,Brain Trust","low","high","Local but high-public-risk","Use as London weather; friends may mention plans; do not assume Alex goes into the crowd.","If used, security/pap/crowd logic matters.","official",""
"fifa_world_cup_2026_final","FIFA World Cup 2026 final","real_public","sport_football","2026-07-19","2026-07-19","","America/New_York","New York/New Jersey","USA","MetLife Stadium","exact","public_weather","public_weather","not_default","public","Sport,Legacy,WME,Serena","very_high","medium","US east coast long-haul; only matters if already in North America","Use as global sports weather and commercial/sponsor pressure.","World Cup final can dominate global press/weather, but do not assume attendance.","public",""
"apple_event_sep_2026","Apple September Event 2026","real_public","tech_launch","2026-09-09","2026-09-09","","America/Los_Angeles","Cupertino","USA","Apple Park","approximate","commercial_inbox","possible_inbox","not_default","public","Serena,WME,Tech","very_high","high","Long-haul; tech-keynote pressure","Use as Apple brand pressure, distinct from Apple Music.","Projected annual September Apple event; use as brand/inbox weather unless exact date later locked.","public",""
"apple_event_sep_2027","Apple September Event 2027","real_public","tech_launch","2027-09-09","2027-09-09","","America/Los_Angeles","Cupertino","USA","Apple Park","approximate","commercial_inbox","possible_inbox","not_default","public","Serena,WME,Tech","very_high","high","Long-haul; tech-keynote pressure","Use as Apple brand pressure, distinct from Apple Music.","Projected annual September Apple event; use as brand/inbox weather unless exact date later locked.","public",""
"wwdc_2027","Apple WWDC 2027","real_public","tech_conference","2027-06-08","2027-06-12","","America/Los_Angeles","Cupertino","USA","Apple Park / online","approximate","commercial_inbox","possible_inbox","not_attendance","public_industry","Tech,Apple,WME,Serena","high","low","Mostly inbox/brand pressure unless a keynote tie-in exists","Use as developer/AI/platform weather and Apple pressure.","Projected WWDC week; not attendance default.","public",""
"goodwood_fos_2026","Goodwood Festival of Speed 2026","real_public","auto_luxury","2026-07-10","2026-07-13","","Europe/London","Chichester","UK","Goodwood Estate","approximate","public_weather","public_weather","not_default","public","Auto,London Lot,Summer House","high","medium","London/Goodwood easy but summer schedule dependent","Use as automotive/luxury calendar weather; do not assume attendance.","Projected Goodwood FoS window; useful for auto-brand pressure.","public",""
"goodwood_fos_2027","Goodwood Festival of Speed 2027","real_public","auto_luxury","2027-07-10","2027-07-13","","Europe/London","Chichester","UK","Goodwood Estate","approximate","public_weather","public_weather","not_default","public","Auto,London Lot,Summer House","high","medium","London/Goodwood easy but summer schedule dependent","Use as automotive/luxury calendar weather; do not assume attendance.","Projected Goodwood FoS window; useful for auto-brand pressure.","public",""
"goodwood_revival_2026","Goodwood Revival 2026","real_public","auto_luxury","2026-09-12","2026-09-14","","Europe/London","Chichester","UK","Goodwood Circuit","approximate","possible_invite","possible_invite","not_default","public","Auto,London Lot,Legacy","medium","medium","London/Goodwood easy","Use as auto/heritage/luxury weather.","Projected Goodwood Revival window.","public",""
"goodwood_revival_2027","Goodwood Revival 2027","real_public","auto_luxury","2027-09-12","2027-09-14","","Europe/London","Chichester","UK","Goodwood Circuit","approximate","possible_invite","possible_invite","not_default","public","Auto,London Lot,Legacy","medium","medium","London/Goodwood easy","Use as auto/heritage/luxury weather.","Projected Goodwood Revival window.","public",""
"monterey_car_week_2026","Monterey Car Week 2026","real_public","auto_luxury","2026-08-08","2026-08-17","","America/Los_Angeles","Monterey","USA","Monterey / Pebble Beach / The Quail orbit","approximate","commercial_inbox","possible_invite","not_default","public_industry","Auto,Serena,WME,Legacy","high","medium","Long-haul from London; useful as auto inbox pressure","Use as automotive inbox pressure and public luxury weather.","Projected Monterey Car Week window.","public",""
