"event_id","event_name","event_kind","category","start_date","end_date","start_time_local","timezone","city","country","venue_or_area","date_precision","diary_layer","alex_default_status","attendance_default","visibility","likely_rooms","commercial_pressure","privacy_risk","travel_logic","render_note","canon_note","source_type","source_url"
"royal_ascot_2025","Royal Ascot 2025","real_public","sport_society","2025-06-17","2025-06-21","","Europe/London","Ascot","UK","Ascot Racecourse","exact","public_weather","public_weather","not_default","public","Almanach,Polo,London Lot","medium","medium","London/Ascot easy","Use as society/weather; do not assume attendance.","Overlaps Phoenix Hollow travel so default is public weather unless Ryan says attended.","official","https://feeds.bbci.co.uk/sport/horse-racing/articles/cx2x8w3l3ppo"
"alex_senior_recital_capture","Electric Ivory senior recital capture","canon_private","music_education","2025-06-18","2025-06-18","evening","Europe/London","London","UK","Royal Academy of Music","exact","past_context","completed","attended","private","RAM,AW,al.x","medium","low","London local","Show as completed private education/music commitment if diary covers June.","Four high-end cinema cameras and release-quality audio; unreleased; Alex owns rights.","canon",""
"phoenix_hollow_arrival_june","Travel to Phoenix Hollow after recital","canon_private","family_travel","2025-06-19","2025-06-19","","America/New_York","Lexington/Kentucky","USA","Phoenix Hollow","exact","past_context","completed","attended","private","FAM,Phoenix Hollow","low","low","Transatlantic after recital","Show as family/private travel not a dramatic exile.","He goes for Solstice and birthday after the RAM recital.","canon",""
"phoenix_hollow_solstice","Phoenix Hollow Solstice Party","canon_private","family_social","2025-06-21","2025-06-21","evening","America/New_York","Kentucky","USA","Phoenix Hollow","exact","past_context","completed","attended","private","FAM,Phoenix Hollow","low","low","Already in Kentucky","Completed family/godfamily weather.","Annual Phoenix Hollow room; private.","canon",""
"alex_22_birthday","Alex turns 22","canon_private","birthday_family","2025-06-22","2025-06-22","","America/New_York","Kentucky","USA","Phoenix Hollow","exact","past_context","completed","attended","private","FAM,Brain Trust","low","medium","Already in Kentucky","Diary can include family birthday and friend messages.","Birthday at Phoenix Hollow after Solstice party.","canon",""
"glastonbury_2025","Glastonbury Festival 2025","real_public","music_festival","2025-06-25","2025-06-29","","Europe/London","Somerset","UK","Worthy Farm","exact","public_weather","public_weather","not_default","public","Summer House,London Lot,Legacy","low","medium","UK festival travel","Use as chat/social weather; friends may reference it.","Not Alex-centred; could be in wider Summer House/London Lot chatter.","official","https://www.glastonburyfestivals.co.uk/info/"
"wimbledon_2025","The Championships Wimbledon 2025","real_public","sport_society","2025-06-30","2025-07-13","","Europe/London","London","UK","All England Club","exact","public_weather","public_weather","not_default","public","London Lot,Almanach,Polo","medium","medium","London local before Sardinia and during early Villa Serena","Use as public London society weather; do not assume attendance.","Alex is in Marylebone by 5 July then graduates 7 July and flies to Sardinia 8 July.","public","https://www.wimbledon.com/pdf/WBSContactandInvoicingInformation2025.pdf"
"british_gp_2025","British Grand Prix 2025","real_public","sport_auto","2025-07-04","2025-07-06","","Europe/London","Silverstone","UK","Silverstone Circuit","exact","public_weather","public_weather","not_default","public","Summer House,Auto,London Lot","high","medium","London/Silverstone easy but graduation week","Use as F1/auto social weather and brand-inbox context.","Could be referenced by friends/auto brands; not default attendance.","official","https://corp.formula1.com/fia-and-formula-1-announces-2025-calendar/"
"montreux_jazz_2025","Montreux Jazz Festival 2025","real_public","music_festival","2025-07-04","2025-07-19","","Europe/Zurich","Montreux","Switzerland","Lake Geneva / Montreux","exact","public_weather","public_weather","not_default","public","Music,Legacy,Summer House","medium","medium","Europe flight from London or Sardinia","Use as music-world weather only; forget music if scene does not need it.","Can matter as global summer culture weather.","public","https://www.jambase.com/festival/montreux-jazz-festival-2025"
"marylebone_pre_grad","Marylebone rented apartment final London nights","canon_private","residence_travel","2025-07-05","2025-07-07","","Europe/London","London","UK","Marylebone rented apartment","exact","past_context","completed","attended","private","Brain Trust,Boys,FAM","low","low","Back from Phoenix Hollow by 5 July","Show as practical London base before graduation.","Final nights before RAM graduation; not Albury return.","canon",""
"ram_graduation","Royal Academy of Music graduation ceremony","canon_private","education","2025-07-07","2025-07-07","","Europe/London","London","UK","Royal Academy of Music","exact","past_context","completed","attended","private_to_public_edge","RAM,FAM,Brain Trust","low","medium","Marylebone/London local","Show as completed education boundary moment.","He flies to Sardinia the next day.","canon",""
"villa_serena_arrival","Alex arrives at Villa Serena","canon_private","summer_residence","2025-07-08","2025-07-08","","Europe/Rome","Porto Cervo","Italy","Villa Serena","exact","past_context","completed","attended","private","Brain Trust,Legacy,FAM,Summer House overlap","low","low","Three-hour annual flight from London; ordinary scale","Render as routine annual Sardinia move, not a grand event.","Sardinia is normal for him; Villa Serena is staffed/open across summer.","canon",""
